Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"Author Reading: Steven Saus and Sean M. Davis",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Come and listen to two authors voted most likely to become mad scientists read and discuss their latest works.  Speakers include:Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Author Reading: Steven Saus and Sean M. Davis",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Come and listen to two authors voted most likely to become mad scientists read and discuss their latest works.  Speakers include:Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"How to do Dystopia",4/25/2015,10:00,4/25/2015,10:50,FALSE,"The Hunger Games, Divergent, Mad Max -- dystopian settings are populating books shelves and movie theaters, especially when it comes to the Young Adult market. The panel will discuss the popularity of the dystopian future and what makes one believable.  Speakers include:Sarah Hans, Janea Schimmel, Sean M. Davis, Steven Saus - Track: Literature, Film  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Author Reading: Steven Saus and Sean M. Davis",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Come and listen to two authors voted most likely to become mad scientists read and discuss their latest works.  Speakers include:Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
"Author Reading: Steven Saus and Sean M. Davis",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Come and listen to two authors voted most likely to become mad scientists read and discuss their latest works.  Speakers include:Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Author Reading: Steven Saus and Sean M. Davis",4/26/2015,13:00,4/26/2015,13:50,FALSE,"Come and listen to two authors voted most likely to become mad scientists read and discuss their latest works.  Speakers include:Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Editing for the Uninitiated",4/25/2015,14:00,4/25/2015,14:50,FALSE,"You've finished your masterpiece, now what? Our panelists discuss the importance of the editing process and how to turn your unfinished gem into a gleaming diamond.  Speakers include:Sean M. Davis, Sarah Hans - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"You Can't Kill The Undead",4/25/2015,21:00,4/25/2015,21:50,FALSE,"Year after year we wonder if this will be the year that people get sick of zombies and vampires. Year after year we get a resounding no from the audience. Join us as we explore the most recent explorations of the undead and brainstorm with us, wondering what may be on the horizon: angels, ghosts, demons?  Speakers include:Nicole Castle, Mary Lynne Gibbs, Michael Cieslak, Sarah Hans, Ken MacGregor, Steven Saus, Sean M. Davis - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"E-Books: An Examination of the Current State of Digital Publishing",4/26/2015,9:00,4/26/2015,9:50,FALSE,"Years ago there was a panel at Penguicon about the rise of the e-reader and what it meant for the world of publishing. It’s safe to say that digital reading is not going to be a passing fad, but it does not appear to be the death of paper publishing that it was once seen to be. The panel will examine how things have changed for authors, readers, and publishers and how things have stayed the same. While we may examine the Hatchette vs Amazon debate, it will be in terms of how it has affected things, not taking sides.  Speakers include:Mary Lynne Gibbs, Sean M. Davis, Karl Schroeder - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Algonquin C",PUBLIC
