Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Dice Forge","5/3/2019","12:00","5/3/2019","13:00","FALSE","BG 2-4 players; Development game featuring innovative mechanics based on dice with removable faces. In this dice crafting game, players build their own dice. Roll your dice, manage your resources, complete ordeals before your opponents and explore multiple winning strategies.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Azul","5/3/2019","13:00","5/3/2019","15:00","FALSE","BG 2-4 players; Players take turns drafting colored tiles from suppliers to their player board. Later in the round, players score points based on how they've placed their tiles to decorate the palace. Extra points are scored for specific patterns and completing sets; wasted supplies harm the player's score. The player with the most points at the end of the game wins.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 2 hours ","Gaming [TC's Room]",PUBLIC
"Mystic Vale","5/3/2019","16:00","5/3/2019","17:00","FALSE","BG 2-4 players; This game features an innovative 'card crafting system,' which lets you not only build your deck, but build the individual cards in your deck, customizing each card's abilities to exactly the strategy you want to follow.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Small World","5/3/2019","17:00","5/3/2019","18:00","FALSE","BG 2-5 players; Small World is inhabited by a zany cast of characters such as dwarves, wizards, amazons, giants, orcs, and even humans, who use their troops to occupy territory and conquer adjacent lands in order to push the other races off the face of the earth.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Isle of Skye","5/3/2019","20:00","5/3/2019","21:00","FALSE","BG 2-5 players; Players are chieftains of famous clans and want to build their kingdoms to score as many points as possible but in each game only four of the sixteen scoring tiles will be scored.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Lords of Vegas","5/3/2019","21:00","5/3/2019","23:00","FALSE","BG 2-4 players; You and your opponents represent powerful developers in a burgeoning Nevada city. You will earn money and prestige by building the biggest and most profitable casinos on 'The Strip,' the town's backbone of dust and sin. You start with nothing but parking lots and dreams, but from there you build, sprawl, reorganize and gamble your way to victory. Score the most points investing in the most profitable development companies and putting the best bosses in control of the richest casinos. Put your dollars on the line . . . it's time to roll!  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 2 hours ","Gaming [TC's Room]",PUBLIC
"Abyss","5/4/2019","10:00","5/4/2019","11:00","FALSE","BG 2-4 players; A game of development, combination and collection in which players try to take control of strategic locations in an underwater city. To achieve this, players must develop on three levels: first by collecting allies, then using them to recruit Lords of the Abyss, who will then grant access to different parts of the city. Players acquire cards through a draft of sorts, and the Lords of the Abyss acquired on those cards grant special powers to the cardholder   but once you use the cards to acquire a location, that power is shut off, so players need to time their land grabs well in order to put themselves in the best position for when the game ends.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Paper Tales","5/4/2019","15:00","5/4/2019","16:00","FALSE","BG 2-5 players A simultaneous drafting card game. Each turn, players draft five units that they then recruit into their kingdom   assuming that they can pay. These choices determine the players ability to shine in battle, generate great income, construct dominant buildings, and earn legend points. There are only four hiring positions available during the four rounds of the play, but your units grow older with each turn until time takes them away.  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Five Tribes","5/4/2019","19:00","5/4/2019","20:00","FALSE","BG 2-4 players; Here, in a unique twist on the now-standard 'worker placement' genre, the game begins with the meeples already in place - and players must cleverly maneuver them over the villages, markets, oases, and sacred places tiles that make up Naqala. How, when, and where you dis-place these Five Tribes of Assassins, Elders, Builders, Merchants, and Viziers determine your victory or failure  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
"Via Nebula","5/4/2019","21:00","5/4/2019","22:00","FALSE","BG 2-4 players; Crafters, builders and carriers   your help is needed to dispel the mists of Nebula! The people of the valley will reward you handsomely if you harvest and exploit our many resources, open paths through the mists, and help our settlers build new structures. Cooperate temporarily with other builders in order to create paths and share goods, but do not forget your own objectives. Will you have a statue erected in your honor on the Nebula City plaza?  Speakers include:The Wandering Meeple - Track: Gaming  - Duration: 1 hour ","Gaming [TC's Room]",PUBLIC
