event_key,active,name,event_start,event_end,event_type,event_subtype,description,host_org,url,media_url,map,seats,goers,checkins,invite_only,venue,address,company,audience,subject,geo_area,tags,fsq_venue_id,custom1,custom2,custom4,custom5,id,venue_id,speakers,moderators,artists,sponsors,exhibitors,staff
"243","Y","Midnight Mayhem","2019-05-05 00:00:00","2019-05-05 04:00:00","Mayhem","","Talk, sing, or just hang with fellow night owls until the wee hours of the morning!","","","","","0","10","0","N","Algonquin B","","","","","","","","","","","","02bc00929bf6f219077d78ce3d4b2e30","931395","","","","","",""
"304","Y","FOSS on Wheels: How Autonomous Cars are Being Driven by Open-Source","2019-05-03 20:00:00","2019-05-03 21:00:00","Tech","","Since the DARPA Grand Challenge in 2005, much of the automotive industry have been working toward self-driving cars. Recently, the algorithms and software stacks used by research teams have begun moving into the open. This panel will provide an overview of what makes up an autonomous vehicle stack, what is available to the masses, and how you can help drive the future through open-source contributions.","","","","","0","6","0","N","EMC I","","","","","","","","","","","","02ee1971264422ff6514538c1c12d0e8","931377","Joshua Whitley","","","","",""
"355","Y","Cross Stitch 201","2019-05-05 12:00:00","2019-05-05 14:00:00","DIY","","Come and learn more advanced techniques and how to work with more complex patterns. You will get the most out of this panel if you have some previous experience with basic cross stitch skills. Limited availability, sign up near ops.","","","","","0","5","0","N","EMC I","","","","","","","","","","","","030fa60003e62f88a84cfa9f04b687ba","931377","Anna Carey","","","","",""
"351","Y","Building an Open Source Artificial Pancreas","2019-05-03 16:00:00","2019-05-03 17:00:00","Tech","","What if open source software or hardware could help improve people’s lives by solving some of their health problems? After the medical tech industry kept promising a system to help automatically manage insulin for type 1 diabetic people and never delivering, some people got together to find ways to do it with the tech they already had. Over the past few years, a “closed-loop” system has been developed to algorithmically regulate people’s blood sugars. As a diabetic, the presenter built this system and saw her sugar values stabilize much more than would be possibly by managing them manually. Learn about OpenAPS (the open artificial pancreas system) and how it works, what problems it solves, and its safety and security concerns. The presenter will also share her personal experience and what OpenAPS means for her health now and in the future. Consider how we, as software developers, can change people’s lives through the code we write.","","","","","0","11","0","N","Algonquin C/D","","","","","","","","","","","","03ef41f4e5b4fee064fb0476ae7bb5e8","931392","Sarah Withee","","","","",""
"87","Y","Oxling's Alcoholic Chocolates","2019-05-03 20:00:00","2019-05-03 21:00:00","Food","","If candy is dandy and liquor is quicker, then what is a combination of both?....Fun. Come see what Oxling has cooked up and learn to make your own fun filled treats. Tequila rose truffles, coconut rum cream and high octane cherry cordials are a few of the examples. Samples and recipes will be available at the end. Make sure to bring your valid ID with you to verify you are over 21 to try the chocolates.","","","","","0","31","0","N","Food [317]","","","","","","","","","","","","03f1569c103862a202bb7ec074e6c0e7","931350","Dan Eckerd","","","","",""
"227","Y","BoF: Crowdfunding Your Next Great Novel","2019-05-05 11:00:00","2019-05-05 12:00:00","Lit","","Birds of a Feather: With the existence of KickStarter, Patreon, GoFundMe and the like, many books and ebooks are being produced that otherwise might never have seen the light of day. This session will be a round-table discussion for those who have tried - or those thinking of trying - to use crowdfunding for their work.","","","","","0","1","0","N","Baldwin","","","","","","","","","","","","051db81d2d673b221b9d9c83b702529c","931389","","","","","",""
"35","Y","Foamsmithing 101","2019-05-04 10:00:00","2019-05-04 11:00:00","Cosplay","","Learn about the basic skills and tools needed to build props and costumes out of foam. See examples of pieces and ask for tips on projects you are working on.","","","","","0","27","0","N","EMC I","","","","","","","","","","","","05d1d7aba42dc62bc8d1d8c773327d9c","931377","Alex Drummer","","","","",""
"237","Y","Catch Me if You Can!!","2019-05-03 16:00:00","2019-05-05 16:00:00","Mayhem","","I am the Ribbon Fairy! Catch me with one or many ribbon(s), and I will present you with one my own.","","","","","0","2","0","N","Various Location","","","","","","","","","","","","05f810ea506ce82c755544a49f40b105","931401","","","","","",""
"340","Y","Team Happiness for Fun and Profit","2019-05-05 11:00:00","2019-05-05 12:00:00","Tech","","Employers woo developers with ping pong tables, free lunches, and beer taps. But it's still rare for employees to stay in a job for more than five years. So what can we do to make our work life better, and reduce employee turnover? In this session we'll talk about tips for self-care that I've found useful, what you can do to make your work more rewarding, steps your company can take to reduce employee turnover, and how to care for your team.","","","","","0","5","0","N","EMC II","","","","","","","","","","","","06754042d8df330fdc82adb53ecee500","931368","Clay Dowling","","","","",""
"238","Y","Furry Delivery Service","2019-05-03 16:00:00","2019-05-05 16:00:00","Mayhem","","Be on the lookout for Penguicon's furry friend who will be making special deliveries around the con.","","","","","0","1","0","N","Various Location","","","","","","","","","","","","0681a9620b391ef7313125d286fac51f","931401","","","","","",""
"154","Y","London","2019-05-03 18:00:00","2019-05-03 20:00:00","Gaming","","BG 2-4 players. Players select cards with varying powers of cash flow, victory points, and poverty penalties, and compete to manage them most efficiently. Nearly 250 years of progress is glimpsed in this game. Famous buildings and monuments of the era as well as engineering developments such as streetlights are illustrated on the cards.","","","","","0","1","0","N","Gaming (TC's Room)","","","","","","","","","","","","06a75a601d7a8343eab85d9042dfe1a9","931386","Mike Dudash","","","","",""
"289","Y","Quantum Crafts","2019-05-04 11:00:00","2019-05-04 12:00:00","Science","","Quantum physics and metaphysics both seek truth. Discover how these two pursuits have begun to reveal the truth of how our universe works and our place in it.","","","","","0","8","0","N","EMC IV","","","","","","","","","","","","073405937014703bd7302e16491c2c6e","931359","Stanley Nunn","","","","",""
"88","Y","Ask A Baker","2019-05-04 14:00:00","2019-05-04 15:00:00","Food","","What does creaming really DO? What causes browning? Why does bread...bread? Why did my thing do that thing? If you've ever had a baking question, or just want to shoot the breeze about butter, come in. Have a chat, have a snack, and leave with a few recipes that won't let you down.","","","","","0","10","0","N","Food [317]","","","","","","","","","","","","08900cdc0216e37d0570c20a98994a5d","931350","Erika Wagner","","","","",""
"293","Y","Learning Management Systems, Educational App Stores, Repositories, and Analytics","2019-05-04 15:00:00","2019-05-04 16:00:00","Tech","","The idea of a next generation digital learning environment” (NGDLE) is now several years old and the Apereo open source communities are adopting this new model across the board. Apereo is showing the path to the NGDLE by moving from a single LMS product (Sakai) to a situation where educational needs can be met from any number of open source projects like Tsugi, Equella, Open Learning Warehouse, Xerte, and others. Much like Sakai’s “interoperability first” approach in 2004 radically changed the educational technology marketplace, Apereo’s NGDLE efforts in 2018 are laying the groundwork that will dramatically transform the educational technology market for the next decade.","","","","","0","9","0","N","Charlevoix B","","","","","","","","","","","","09044f7b803c3935ad1493cab272ebc3","931344","Charles Severance","","","","",""
"156","Y","Navigating Polyamory: Keeping your Cups Full","2019-05-04 13:00:00","2019-05-04 14:00:00","Life","","Join us for a presentation and Q&A about one million different ways to practice poly. Come learn how to better communicate and work through hiccups, such as scheduling conflicts, new partners, sexual safety, and mental/emotional health.","","","","","0","25","0","N","Charlevoix A","","","","","","","","","","","","09860b5ae0e9dfacfb7e1ab36dfe8c1a","931323","Andrew M. &quot;Fish&quot; Popowich, Becky Hill, Cyndi Chadwick","","","","",""
"116","Y","Consuite Chaos: A Cthulhu LARP","2019-05-03 20:00:00","2019-05-04 00:00:00","Gaming","","Welcome to Unicon! Your favorite nerd-stravaganza is hosted this year at the newly-renovated historic River Grand Hotel. It's midnight in the Consuite, but that doesn't mean it's quiet. The caffeine is flowing, the snacks are plentiful, and everyone is having a great time, until THINGS begin to happen... Terror and Tentacles presents a horrorful live action game guaranteed to stun the senses. No experience necessary.","","","","","0","7","0","N","Algonquin A","","","","","","","","","","","","0a72147625fa3975b6597ecebea567a1","931341","Conor Esselink, Gnora Ford-Lepthien, Laura Cascos, Beth Bondono, Owen Bondono, Erika Wagner","","","","",""
"339","Y","Protecting The Digital You","2019-05-04 17:00:00","2019-05-04 18:00:00","Tech","","A primer on the digital footprints you leave online and how to protect yourself.","","","","","0","13","0","N","Algonquin B","","","","","","","","","","","","0b29920a75151e2de3545b8ecdd501fc","931395","Tom Lawrence","","","","",""
